# Điểm trúng tuyển các năm của Trường Đại học Nha Trang
Source: https://tuyensinh.ntu.edu.vn/diem-trung-tuyen-cac-nam
## Bang 1
- TT | Mã ngành | Tên ngành, chương trình đào tạo | Điểm thi TN THPT 2025 | - | Điểm ĐGNL ĐHQG-HCM 2025 | Điểm ĐGNL ĐHQG-HN 2025 | Điểm điều kiện tiếng Anh (Học bạ THPT)
- TT | Mã ngành | Tên ngành, chương trình đào tạo | Tổ hợp có môn Toán hệ số 1 | Tổ hợp có môn Toán hệ số 2; hoặc Tiếng Anh hệ số 2 | Điểm ĐGNL ĐHQG-HCM 2025 | Điểm ĐGNL ĐHQG-HN 2025 | Điểm điều kiện tiếng Anh (Học bạ THPT)
- I | Chương trình đào tạo đặc biệt | - | - | - | - | - | -
- 1 | 7340101A | Quản trị kinh doanh (chương trình đào tạo đặc biệt: Quản trị kinh doanh tổng hợp; Quản trị kinh doanh quốc tế) | 24 | 22,64 | 633,82 | 83,74 | 5
- 2 | 7340201A | Tài chính - Ngân hàng (chương trình đào tạo đặc biệt) | 24 | 22,64 | 633,82 | 83,74 | 5
- 3 | 7340301A | Kế toán (chương trình đặc biệt) | 23 | 21,70 | 607,35 | 80,11 | 5
- 4 | 7480201A | Công nghệ thông tin (chương trình đặc biệt) | 22 | 20,75 | 580,88 | 76,49 | 5
- 5 | 7480201B | Công nghệ thông tin Việt - Nhật | 22 | 20,75 | 580,88 | 76,49 | 5
- 6 | 7810201A | Quản trị khách sạn (chương trình đặc biệt) | 25 | 23,58 | 666,21 | 87,64 | 5
- 7 | 7810103A | Quản trị dịch vụ du lịch lữ hành (chương trình đặc biệt) | 25 | 23,58 | 666,21 | 87,64 | 5
- 8 | 7810103P | Quản trị dịch vụ du lịch và lữ hành (chương trình song ngữ Pháp-Việt) | 23 | 21,70 | 607,35 | 80,11 | -
- 9 | 7420201MP | Công nghệ sinh học (chương trình Minh Phú-NTU) | 20 | 18,87 | 527,94 | 69,24 | -
- 10 | 7520103MP | Cơ khí thủy sản thông minh (chương trình Minh Phú - NTU) | 20 | 18,87 | 527,94 | 69,24 | -
- 11 | 7620301MP | Nuôi trồng thuỷ sản (chương trình Minh Phú – NTU) | 20 | 18,87 | 527,94 | 69,24 | -
- 12 | 7540105MP | Công nghệ chế biến thuỷ sản (chương trình Minh Phú – NTU) | 20 | 18,87 | 527,94 | 69,24 | -
- 13 | 7540105HV | Công nghệ chế biến thuỷ sản (chương trình Hải Vương - NTU) | 20 | 18,87 | 527,94 | 69,24 | -
- II | Chương trình đào tạo chuẩn | - | - | - | - | - | -
- 14 | 7220201 | Ngôn ngữ Anh (04 chuyên ngành: Biên - phiên dịch; Tiếng Anh du lịch; Giảng dạy Tiếng Anh; Song ngữ Anh - Trung) | 25 | 23,58 | 666,21 | 87,64 | 7
- 15 | 7310101 | Kinh tế (02 chuyên ngành: Kinh tế thủy sản; Quản lý kinh tế) | 21 | 19,81 | 554,41 | 72,87 | -
- 16 | 7310105 | Kinh tế phát triển | 21 | 19,81 | 554,41 | 72,87 | -
- 17 | 7340101 | Quản trị kinh doanh | 24 | 22,64 | 633,82 | 83,74 | 5
- 18 | 7340115 | Marketing | 27 | 25,47 | 737,29 | 95,74 | 5
- 19 | 7340121 | Kinh doanh thương mại | 24 | 22,64 | 633,82 | 83,74 | 5
- 20 | 7340201 | Tài chính - Ngân hàng (02 chuyên ngành: Tài chính – Ngân hàng; Công nghệ tài chính) | 24 | 22,64 | 633,82 | 83,74 | 5
- 21 | 7340301 | Kế toán | 23 | 21,70 | 607,35 | 80,11 | 5
- 22 | 7340302 | Kiểm toán | 23 | 21,70 | 607,35 | 80,11 | 5
- 23 | 7340405 | Hệ thống thông tin quản lý | 21 | 19,81 | 554,41 | 72,87 | -
- 24 | 7380101 | Luật (02 chuyên ngành: Luật, Luật kinh tế ) | 27 | 25,47 | 737,29 | 95,74 | -
- 25 | 7420201 | Công nghệ sinh học | 20 | 18,87 | 527,94 | 69,24 | -
- 26 | 7480101 | Khoa học máy tính | 22 | 20,75 | 580,88 | 76,49 | 5
- 27 | 7480201 | Công nghệ thông tin (03 chuyên ngành: Công nghệ phần mềm; Hệ thống thông tin; Truyền thông và Mạng máy tính) | 22 | 20,75 | 580,88 | 76,49 | 5
- 28 | 7510202 | Công nghệ chế tạo máy | 20 | 18,87 | 527,94 | 69,24 | -
- 29 | 7520103 | Kỹ thuật cơ khí (02 chuyên ngành: Kỹ thuật cơ khí; Thiết kế và chế tạo số) | 21 | 19,81 | 554,41 | 72,87 | -
- 30 | 7520114 | Kỹ thuật cơ điện tử (02 chuyên ngành: Kỹ thuật cơ điện tử; Hệ thống nhúng và IoT) | 21 | 19,81 | 554,41 | 72,87 | -
- 31 | 7520115 | Kỹ thuật nhiệt (Kỹ thuật cơ điện lạnh, Điện lạnh, Cơ điện lạnh) | 20 | 18,87 | 527,94 | 69,24 | -
- 32 | 7520116 | Kỹ thuật cơ khí động lực | 20 | 18,87 | 527,94 | 69,24 | -
- 33 | 7520122 | Kỹ thuật tàu thủy | 20,5 | 19,34 | 541,17 | 71,05 | -
- 34 | 7520130 | Kỹ thuật ô tô | 21,5 | 20,28 | 567,64 | 74,68 | -
- 35 | 7520201 | Kỹ thuật điện (chuyên ngành Kỹ thuật điện, điện tử) | 21,5 | 20,28 | 567,64 | 74,68 | -
- 36 | 7520206 | Kỹ thuật biển (Giàn khoan và Tuabin gió) | 20 | 18,87 | 527,94 | 69,24 | -
- 37 | 7520216 | Kỹ thuật điều khiển và tự động hóa | 21 | 19,81 | 554,41 | 72,87 | -
- 38 | 7520301 | Kỹ thuật hoá học | 20 | 18,87 | 527,94 | 69,24 | -
- 39 | 7520320 | Kỹ thuật môi trường (02 chuyên ngành: Kỹ thuật môi trường; Quản lý môi trường và an toàn vệ sinh lao động) | 20 | 18,87 | 527,94 | 69,24 | -
- 40 | 7540101 | Công nghệ thực phẩm (02 chuyên ngành: Công nghệ thực phẩm; Dinh dưỡng và ẩm thực) | 20,5 | 19,34 | 541,17 | 71,05 | -
- 41 | 7540105 | Công nghệ chế biến thuỷ sản (02 chuyên ngành: Công nghệ chế biến thủy sản; Công nghệ sau thu hoạch) | 20 | 18,87 | 527,94 | 69,24 | -
- 42 | 7540106 | Đảm bảo chất lượng và an toàn thực phẩm | 20 | 18,87 | 527,94 | 69,24 | -
- 43 | 7580201 | Kỹ thuật xây dựng (02 chuyên ngành: Kỹ thuật xây dựng; Quản lý xây dựng) | 20 | 18,87 | 527,94 | 69,24 | -
- 44 | 7580205 | Kỹ thuật xây dựng công trình giao thông | 20 | 18,87 | 527,94 | 69,24 | -
- 45 | 7620301 | Nuôi trồng thuỷ sản (03 chuyên ngành: Công nghệ Nuôi trồng thủy sản; Quản lý sức khỏe động vật thuỷ sản, Quản lý Nuôi trồng thủy sản) | 20 | 18,87 | 527,94 | 69,24 | -
- 46 | 7620303 | Khoa học thủy sản (02 chuyên ngành: Khoa học thủy sản; Khai thác thủy sản) | 20 | 18,87 | 527,94 | 69,24 | -
- 47 | 7620305 | Quản lý thuỷ sản | 20 | 18,87 | 527,94 | 69,24 | -
- 48 | 7810103 | Quản trị dịch vụ du lịch và lữ hành | 25 | 23,58 | 666,21 | 87,64 | 5
- 49 | 7810201 | Quản trị khách sạn | 25 | 23,58 | 666,21 | 87,64 | 5
- 50 | 7840106 | Khoa học hàng hải (02 chuyên ngành: Khoa học hàng hải; Quản lý hàng hải và Logistics) | 24 | 22,64 | 633,82 | 83,74 | 5
### Bang 2
- TT | Mã ngành | Tên ngành, chương trình đào tạo | Tổ hợp xét điểm thi THPT 2024 | Điểm chuẩn điểm thi THPT 2024 (thang điểm 30) | Điểm tiếng Anh thi THPT | Tổ hợp xét Học bạ THPT | Điểm chuẩn Học bạ THPT (thang điểm 40) | Điểm tiếng Anh Học bạ | Điểm chuẩn Điểm thi ĐGNL 2024 | Điểm tiếng Anh thi ĐGNL
- I | Chương trình đặc biệt | - | - | - | - | - | - | - | - | -
- 1 | 7540105MP | Công nghệ chế biến thuỷ sản (Chương trình Minh Phú – NTU) | A01; B00; D01; D07 | 17,0 | - | TO; VL; HH; SH | 24 | - | 625 | -
- 2 | 7620301MP | Nuôi trồng thuỷ sản (Chương trình Minh Phú – NTU) | A01; B00; D01; D07 | 17,0 | - | TO; VL; HH; SH | 24 | - | 625 | -
- 3 | 7420201MP | Công nghệ sinh học (Chương trình Minh Phú – NTU) | A00; A01; B00; D08 | 20,0 | 6,0 | HH; SH; TO; VL | 24 | - | 625 | -
- 4 | 7340101A | Quản trị kinh doanh (Chương trình đặc biệt) | A01; D01; D07; D96 | 20,0 | 6,0 | TA, LS, ĐL | 28 | 6 | 675 | 120
- 5 | 7340301A | Kế toán (Chương trình đặc biệt) | A01; D01; D07; D96 | 17,0 | - | TA; TO, TH | 28 | 6 | 675 | 120
- 6 | 7480201A | Công nghệ thông tin (Chương trình đặc biệt) | A01; D01; D07; D90 | 20,0 | 5,5 | TO; VL; TH; CN | 29 | 6 | 688 | 120
- 7 | 7810201A | Quản trị khách sạn (Chương trình đặc biệt) | A01; D01; D07; D96 | 20,0 | 6,0 | TA; LS, ĐL | 28 | 6 | 675 | 120
- 8 | 7810103A | Quản trị dịch vụ du lịch lữ hành (Chương trình đặc biệt) | A01; D01; D07; D96 | 20,0 | 6,0 | TA; LS, ĐL | 28 | 6 | 675 | 120
- 9 | 7810103P | Quản trị dịch vụ du lịch và lữ hành (Chương trình song ngữ Pháp-Việt) | D01, D03, D96, D97 | 17,0 | - | ĐL, LS, TA, TP | 26 | - | 650 | -
- II | Chương trình chuẩn | - | - | - | - | - | - | - | - | -
- 10 | 7220201 | Ngôn ngữ Anh (0 4 chuyên ngành: Biên - phiên dịch; Tiếng Anh du lịch; Giảng dạy Tiếng Anh; Song ngữ Anh - Trung) | D01; D14; D15; D96 | 23,0 | 6,5 | TA | 30 | 7 | 700 | 130
- 11 | 7310101 | Kinh tế (02 chuyên ngành: Kinh tế thủy sản; Quản lý kinh tế) | D01; D14; D15; D96 | 21,0 | - | TA; LS; ĐL | 27 | - | 663 | -
- 12 | 7310105 | Kinh tế phát triển | D01; D14; D15; D96 | 21,0 | - | TA; LS; ĐL | 26 | - | 650 | -
- 13 | 7340101 | Quản trị kinh doanh | D01; D14; D15; D96 | 21,0 | 5,0 | TA; LS; ĐL | 28 | 6 | 675 | 120
- 14 | 7340115 | Marketing | D01; D14; D15; D96 | 23,0 | 5,0 | TA; LS; ĐL | 30 | 6 | 700 | 120
- 15 | 7340121 | Kinh doanh thương mại | D01; D14; D15; D96 | 22,0 | 5,0 | TA; LS; ĐL | 28 | 5.5 | 675 | 110
- 16 | 7340201 | Tài chính - Ngân hàng (02 chuyên ngành: Tài chính – Ngân hàng; Công nghệ tài chính) | D01; D14; D15; D96 | 21,0 | 4,5 | TA; TO, TH | 28 | 5.5 | 675 | 110
- 17 | 7340301 | Kế toán | D01; D14; D15; D96 | 20,0 | 4,5 | TA; TO, TH | 28 | 5.5 | 675 | 110
- 18 | 7340302 | Kiểm toán | D01; D14; D15; D96 | 20,0 | 4,5 | TA; TO, TH | 28 | 5.5 | 675 | 110
- 19 | 7340405 | Hệ thống thông tin quản lý | A01; D01; D07; D96 | 17,0 | - | TO; TA; TH; CN | 27 | - | 663 | -
- 20 | 7380101 | Luật (02 chuyên ngành: Luật, Luật kinh tế) | D01; D14; D15; D96 | 21,0 | - | TA; LS; ĐL, GDCD | 29 | - | 688 | -
- 21 | 7420201 | Công nghệ sinh học | A00; A01; B00; D08 | 16,0 | - | TO; VL; HH; SH | 24 | - | 625 | -
- 22 | 7480101 | Khoa học máy tính (02 chuyên ngành: Trí tuệ nhân tạo; Khoa học dữ liệu) | A01; D01; D07; D90 | 20,0 | 4,5 | TO; TA; TH; CN | 28 | 5.5 | 675 | 110
- 23 | 7480201 | Công nghệ thông tin (03 chuyên ngành: Công nghệ phần mềm; Hệ thống thông tin; Truyền thông và Mạng máy tính) | A01; D01; D07; D90 | 21,0 | 4,5 | TO; TA; TH; CN | 29 | 5.5 | 688 | 110
- 24 | 7510202 | Công nghệ chế tạo máy | A00; A01; C01; D07 | 16,0 | - | TO; VL; HH; CN | 22 | - | 600 | -
- 25 | 7520103 | Kỹ thuật cơ khí (02 chuyên ngành: Kỹ thuật cơ khí; Thiết kế và chế tạo số) | A00; A01; C01; D07 | 17,5 | - | TO; VL; HH; CN | 25 | - | 638 | -
- 26 | 7520114 | Kỹ thuật cơ điện tử | A00; A01; C01; D07 | 17,0 | - | TO; VL; HH; CN | 24 | - | 625 | -
- 27 | 7520115 | Kỹ thuật nhiệt | A00; A01; C01; D07 | 17,0 | - | TO; VL; HH; CN | 23 | - | 600 | -
- 28 | 7520116 | Kỹ thuật cơ khí động lực | A00; A01; C01; D90 | 16,5 | - | TO; VL; TH; CN | 22 | - | 600 | -
- 29 | 7520122 | Kỹ thuật tàu thủy | A00; A01; C01; D90 | 16,5 | - | TO; VL; TH; CN | 24 | - | 625 | -
- 30 | 7520130 | Kỹ thuật ô tô | A01; D01; D07; D90 | 21,0 | - | TO; VL; TH; CN | 28 | - | 675 | -
- 31 | 7520201 | Kỹ thuật điện ( chuyên ngành Kỹ thuật điện, điện tử ) | A01; D01; D07; D90 | 18,5 | - | TO; VL; HH; CN | 25 | - | 638 | -
- 32 | 7520206 | Kỹ thuật biển | A00; A01; C01; D90 | 16,5 | - | TO; VL; TH; CN | 24 | - | 625 | -
- 33 | 7520216 | Kỹ thuật điều khiển và tự động hóa | A01; D01; D07; D90 | 17,0 | - | TO; VL; HH; CN | 24 | - | 625 | -
- 34 | 7520301 | Kỹ thuật hoá học | A00; A01; B00; D07 | 16,0 | - | TO; VL; HH; CN | 22 | - | 600 | -
- 35 | 7520320 | Kỹ thuật môi trường (02 chuyên ngành: Kỹ thuật môi trường; Quản lý môi trường và an toàn vệ sinh lao động) | A00; A01; B00; D08 | 16,0 | - | TO; VL; HH; SH | 22 | - | 600 | -
- 36 | 7540101 | Công nghệ thực phẩm (03 chuyên ngành: Công nghệ thực phẩm; Đảm bảo chất lượng và an toàn thực phẩm; Khoa học dinh dưỡng và ẩm thực) | A01; D01; D07; D90 | 17,5 | - | TO; VL; HH; SH | 26 | - | 650 | -
- 37 | 7540105 | Công nghệ chế biến thuỷ sản (02 chuyên ngành: Công nghệ chế biến thủy sản; Công nghệ sau thu hoạch) | A01; B00; D01; D07 | 16,0 | - | TO; VL; HH; SH | 22 | - | 600 | -
- 38 | 7580201 | Kỹ thuật xây dựng (02 chuyên ngành: Kỹ thuật xây dựng; Quản lý xây dựng) | A01; D01; D07; D90 | 17,0 | - | TO; VL; TH; CN | 24 | - | 625 | -
- 39 | 7580205 | Kỹ thuật xây dựng công trình giao thông | A01; D01; D07; D90 | 16,0 | - | TO; VL; TH; CN | 22 | - | 600 | -
- 40 | 7620301 | Nuôi trồng thuỷ sản | A01; B00; D01; D07 | 16,0 | - | TO; VL; HH; SH | 22 | - | 600 | -
- 41 | 7620303 | Khoa học thủy sản (02 chuyên ngành: Khoa học thủy sản; Khai thác thủy sản) | A00; A01; B00; D07 | 16,0 | - | TO; VL; HH; SH | 22 | - | 600 | -
- 42 | 7620305 | Quản lý thuỷ sản | A00; A01; B00; D07 | 16,0 | - | TO; VL; HH; SH | 22 | - | 600 | -
- 43 | 7810103 | Quản trị dịch vụ du lịch và lữ hành | D01; D14; D15; D96 | 21,0 | 5,0 | TA; LS; ĐL | 28 | 5.5 | 675 | 110
- 44 | 7810201 | Quản trị khách sạn | D01; D14; D15; D96 | 21,0 | 5,0 | TA; LS; ĐL | 28 | 5.5 | 675 | 110
